date,total_cases
2020-02-26,1
2020-02-27,3
2020-02-28,4
2020-02-29,4
2020-03-01,7
2020-03-02,7
2020-03-03,7
2020-03-04,9
2020-03-05,31
2020-03-06,45
2020-03-07,46
2020-03-08,73
2020-03-09,73
2020-03-10,89
2020-03-11,99
2020-03-12,99
2020-03-13,190
2020-03-14,228
2020-03-15,331
2020-03-16,331
2020-03-17,387
2020-03-18,418
2020-03-19,418
2020-03-20,495
2020-03-21,530
2020-03-22,624
2020-03-23,695
2020-03-24,743
2020-03-25,821
2020-03-26,892
2020-03-27,966
2020-03-28,1061
2020-03-29,1156
2020-03-30,1212
2020-03-31,1314
2020-04-01,1415
2020-04-02,1544
2020-04-03,1613
2020-04-04,1673
2020-04-05,1735
2020-04-06,1755
2020-04-07,1832
2020-04-08,1884
2020-04-09,1955
2020-04-10,2011
2020-04-11,2081
2020-04-12,2114
2020-04-13,2145
2020-04-14,2170
2020-04-15,2192
2020-04-16,2207
2020-04-17,2224
2020-04-18,2235
2020-04-19,2235
2020-04-20,2245
2020-04-21,2401
2020-04-22,2408
2020-04-23,2463
2020-04-24,2490
2020-04-25,2506
2020-04-26,2517
2020-04-27,2534
2020-04-28,2566
2020-04-29,2576
2020-04-30,2591
2020-05-01,2612
2020-05-02,2620
2020-05-03,2626
2020-05-04,2632
2020-05-05,2642
2020-05-06,2663
2020-05-07,2678
2020-05-08,2691
2020-05-09,2710
2020-05-10,2716
2020-05-11,2726
2020-05-12,2744
2020-05-13,2760
2020-05-14,2770
2020-05-15,2810
2020-05-16,2819
2020-05-17,2834
2020-05-18,2836
2020-05-19,2840
2020-05-20,2850
2020-05-21,2853
2020-05-22,2874
2020-05-23,2876
2020-05-24,2878
2020-05-25,2882
2020-05-26,2892
2020-05-27,2903
2020-05-28,2906
2020-05-29,2909
2020-05-30,2915
2020-05-31,2917
2020-06-01,2918
2020-06-02,2937
2020-06-03,2937
2020-06-04,2952
2020-06-05,2967
2020-06-06,2980
2020-06-07,2997
2020-06-08,3049
2020-06-09,3058
2020-06-10,3068
2020-06-11,3088
2020-06-12,3108
2020-06-13,3112
2020-06-14,3121
2020-06-15,3134
2020-06-16,3148
2020-06-17,3203
2020-06-18,3227
2020-06-19,3237
2020-06-20,3256
2020-06-21,3266
2020-06-22,3287
2020-06-23,3302
2020-06-24,3310
2020-06-25,3321
2020-06-26,3343
2020-06-27,3366
2020-06-28,3376
2020-06-29,3390
2020-06-30,3409
2020-07-01,3432
2020-07-02,3458
2020-07-03,3486
2020-07-04,3511
2020-07-05,3519
2020-07-06,3562
2020-07-07,3589
2020-07-08,3622
2020-07-09,3672
2020-07-10,3732
2020-07-11,3772
2020-07-12,3803
2020-07-13,3826
2020-07-14,3883
2020-07-15,3910
2020-07-16,3939
2020-07-17,3964
2020-07-18,3983
2020-07-19,4007
2020-07-20,4012
2020-07-21,4048
2020-07-22,4077
2020-07-23,4110
2020-07-24,4135
2020-07-25,4166
2020-07-26,4193
2020-07-27,4227
2020-07-28,4279
2020-07-29,4336
2020-07-30,4401
2020-07-31,4477
2020-08-01,4587
2020-08-02,4662
2020-08-03,4737
2020-08-04,4855
2020-08-05,4974
2020-08-06,5123
2020-08-07,5270
2020-08-08,5421
2020-08-09,5623
2020-08-10,5749
2020-08-11,5942
2020-08-12,6177
2020-08-13,6381
2020-08-14,6632
2020-08-15,6858
2020-08-16,7075
2020-08-17,7222
2020-08-18,7472
2020-08-19,7684
2020-08-20,7934
2020-08-21,8138
2020-08-22,8381
2020-08-23,8664
2020-08-24,8819
2020-08-25,8987
2020-08-26,9280
2020-08-27,9531
2020-08-28,9800
2020-08-29,9977
